zip,borough,borough_label
10453,1,bronx
10457,1,bronx
10460,1,bronx
10458,1,bronx
10467,1,bronx
10468,1,bronx
10451,1,bronx
10452,1,bronx
10456,1,bronx
10454,1,bronx
10455,1,bronx
10459,1,bronx
10474,1,bronx
10463,1,bronx
10471,1,bronx
10466,1,bronx
10469,1,bronx
10470,1,bronx
10475,1,bronx
10461,1,bronx
10462,1,bronx
10464,1,bronx
10465,1,bronx
10472,1,bronx
10473,1,bronx
11212,2,brooklyn
11213,2,brooklyn
11216,2,brooklyn
11233,2,brooklyn
11238,2,brooklyn
11209,2,brooklyn
11214,2,brooklyn
11228,2,brooklyn
11204,2,brooklyn
11218,2,brooklyn
11219,2,brooklyn
11230,2,brooklyn
11234,2,brooklyn
11236,2,brooklyn
11239,2,brooklyn
11223,2,brooklyn
11224,2,brooklyn
11229,2,brooklyn
11235,2,brooklyn
11201,2,brooklyn
11205,2,brooklyn
11215,2,brooklyn
11217,2,brooklyn
11231,2,brooklyn
11203,2,brooklyn
11210,2,brooklyn
11225,2,brooklyn
11226,2,brooklyn
11207,2,brooklyn
11208,2,brooklyn
11211,2,brooklyn
11222,2,brooklyn
11220,2,brooklyn
11232,2,brooklyn
11206,2,brooklyn
11221,2,brooklyn
11237,2,brooklyn
10026,3,manhattan
10027,3,manhattan
10030,3,manhattan
10037,3,manhattan
10039,3,manhattan
10001,3,manhattan
10011,3,manhattan
10018,3,manhattan
10019,3,manhattan
10020,3,manhattan
10036,3,manhattan
10029,3,manhattan
10035,3,manhattan
10010,3,manhattan
10016,3,manhattan
10017,3,manhattan
10022,3,manhattan
10012,3,manhattan
10013,3,manhattan
10014,3,manhattan
10004,3,manhattan
10005,3,manhattan
10006,3,manhattan
10007,3,manhattan
10038,3,manhattan
10280,3,manhattan
10002,3,manhattan
10003,3,manhattan
10009,3,manhattan
10021,3,manhattan
10028,3,manhattan
10044,3,manhattan
10065,3,manhattan
10075,3,manhattan
10128,3,manhattan
10023,3,manhattan
10024,3,manhattan
10025,3,manhattan
10031,3,manhattan
10032,3,manhattan
10033,3,manhattan
10034,3,manhattan
10040,3,manhattan
11361,4,queens
11362,4,queens
11363,4,queens
11364,4,queens
11354,4,queens
11355,4,queens
11356,4,queens
11357,4,queens
11358,4,queens
11359,4,queens
11360,4,queens
11365,4,queens
11366,4,queens
11367,4,queens
11412,4,queens
11423,4,queens
11432,4,queens
11433,4,queens
11434,4,queens
11435,4,queens
11436,4,queens
11101,4,queens
11102,4,queens
11103,4,queens
11104,4,queens
11105,4,queens
11106,4,queens
11374,4,queens
11375,4,queens
11379,4,queens
11385,4,queens
11691,4,queens
11692,4,queens
11693,4,queens
11694,4,queens
11695,4,queens
11697,4,queens
11004,4,queens
11005,4,queens
11411,4,queens
11413,4,queens
11422,4,queens
11426,4,queens
11427,4,queens
11428,4,queens
11429,4,queens
11414,4,queens
11415,4,queens
11416,4,queens
11417,4,queens
11418,4,queens
11419,4,queens
11420,4,queens
11421,4,queens
11368,4,queens
11369,4,queens
11370,4,queens
11372,4,queens
11373,4,queens
11377,4,queens
11378,4,queens
10302,5,staten
10303,5,staten
10310,5,staten
10306,5,staten
10307,5,staten
10308,5,staten
10309,5,staten
10312,5,staten
10301,5,staten
10304,5,staten
10305,5,staten
10314,5,staten
